,Brand,Review,BOW Similarity Score
0,Kaggen! Stormaktsporter ,smokey,0.0
1,Kaggen! Stormaktsporter ,"had low expectations. but, my gawd! this beer blew me away. easily the best porter i’ve ever had.",0.0
2,Kaggen! Stormaktsporter ,"excellent porter. one of the best. roasty, complex, bold. super challenging to acquire but definitely worth the chase. got to try high coast next to it too. amazing combo!!!",0.0
3,Kaggen! Stormaktsporter ,"pours jet black with a small tan head. intense roast bordering on smokey. chocolate. definitely some bourbon heat along with vanilla infused oak. quite dry. heat of the alcohol overwhelms my palate making tough to judge ibus. full bodied, long lasting finish.",0.0
4,Kaggen! Stormaktsporter ,"bottle, rbesg 2007 in glasgow, grand tasting. pitch black colour, creamy brown head. very nice aroma of chocolate and roasted malts, hints of oak. intensely rich and complex flavour: oaky, vinous, roasty, chocolate, liquorice. an excellent beer, but so is the ""ordinary"" stormaktsporter.",0.0
5,Kaggen! Stormaktsporter ,"2018 bottle in a bif courtesy of mtkatl', '\n', '\nl: jet black with a caramel colored head', '\n', '\ns: smokey, heavy dark fruit notes', '\n', '\nt: smokey and reminent of black albert, a better overall representation of a european porter. very enjoyable, dark fruits. has a hint of barrel, despite not being a ba stout', '\n', '\nf: thick and heavy, surprisingly so for being non ba', '\n', '\no: very happy to have tried this beer, it is a throwback and still masterfully done.",0.0
6,Kaggen! Stormaktsporter ,"""2018. was fine. wasn't as great as i expected. pretty light, smoky taste. nice body for a porter. comes in a very small bottle, around 8.2 ounces.""",0.0
7,Kaggen! Stormaktsporter ,"2014 review.... it’s boozy, but i’m no way does this compare to today’s barrel aged beers or flavored barrel aged stouts, this is crap...... boozy and messy. low grade fuel and gtfoh with stupid old money v new money comments",0.0
8,Bourbon County Brand Stout ,"2019 vintage. consuming on 9/19/22. dang this is good. for a 14.7%, the alcohol is almost nonexistent. i could get in trouble with this one.",0.0
9,Bourbon County Brand Stout ,"stouts, especially imperial stouts, are my favorite style, so i try them whenever i can. even though bourbon county changes slightly every year, for me it is the zenith, the benchmark against all others are judged. the viscosity is delightful; other imperial stouts are so thin and weak by comparison. and the complexity is amazing. i introduce people to it every year, give them a small glassful without introduction and ask them what they think they are drinking. people are always fascinated by the range of flavors, and only a few guess that it is a beer!', '\nevery year, my friends and i buy up as much as we can get our hands on. and if you can find it on tap, i like it even better.",0.0
10,Bourbon County Brand Stout ,"this review is based on a 2020 label date opened in 2022, stored under dark refrigeration. this beer ages well, no doubt. ', '\n', '\nlook: very dark, and is about as translucent as used diesel motor oil, which is to say it is quite opaque. it is a very dark brown in color, with a medium brown head. ', '\n', '\nsmell and taste: bourbon (of course), chocolate, tobacco, some dried hay, some smoke but not a lot. and more and more roasted loveliness. the alcohol burn is there, but it really just transports all of the flavors to the nose and tongue and is not overly intrusive. everything is balanced, which is a characteristic of all of my favorite beers. take a sip, and contemplate all of the different flavors as they dance across your tongue from start to finish, front to back. there is a lot of variety here. ', '\n', '\nfeel: as at least one other review mentions, for its massive burst of robust, intense flavor, it is not a thick beer, but is surprisingly thin. it is not a make-or-break for the beer, just an interesting characteristic. ""', '\n', '\noverall: one of my top 10 beers (the old bomber karbach bbhs, la fin du monde, avery reverend, aventinus, real ale sisyphus, avery maharaja, ranger creek wee heavy, any dark ale from double mountain in oregon, new belgium ranger imperial ipa)', '\n', '\ni always drink these out of a bordeaux style wine glass since it concentrates the scent of the beer. i usually pour one right out of the fridge and drink it slowly over an hour or so, savoring the considerable shifts in flavor as it warms up. the coffee and the chocolate notes become more predominant, and the complexity bursts forth. the finish also becomes more aventinus like and will linger on the tongue as long as you want it to. there is a strange stage about 20 minutes in when a burnt nut bitterness becomes more apparent amongst all of the other flavors. but, fret not, just wait and it will revert back to its full palate. ', '\n', ""\ni don't love my favorite beers because they score high on this site. i love them because they are fantastic. this is a fantastic beer.""",0.0
11,Bourbon County Brand Stout ,"a: when pored the appearance is as black as can be. this beer is so dark, the foam appears to be a dark brown rather than the the typical white. this appearance is how you know this will be a serious stout.', '\n', '\ns: there are definitely notes of bourbon in the aroma. you can also detect notes of roasted barley and oak.', '\n', '\nt: the taste of this brew is suburb for an imperial stout. there is a rich blend of flavors from the oak, the bourbon and the malts. while there is also some hop presence, its really the bourbon that takes center stage here. this is definitely the gold standard for a barreled aged beer. ', '\n', '\nm: the mouth feel is very warming. that is to be expected at with a beer with a big abv like this one. this is definitely something you want to drink in the colder weather,', '\n', ""\no: overall goose island nailed this style. i don't often give 5 star ratings but this brew earned it. it is such a rich imperial stout that drinks very smoothly. it is one of the best beers i have ever drank. final rating 5/5.""",0.052486388108147805
12,Bourbon County Brand Stout ,"goose island bourbon county stout', '\nlive review. poured from the 1 pint, 0.9 ounce bottle that i found at a cool bottle shop in mentor, ohio about 18 months ago for, if i recall correctly, about $15. 2019 indicated on the neck label. drink by: 25 aug 24 08:33 14.7% alc/vol printed on the lower part of the label on the body of the bottle.', '\na: the look does not disappoint. the darkest body with a brief dark brown head which lasts about 10 seconds and i poured generously into a clean, clear snifter. love this look, even if much of it is to style. 4.5', '\ns: dark fruits predominate without too much “heat” of alcohol which i expected somewhat due to the high abv. i certainly pick up some deep, sweet bourbon notes but the dark fruits are front and center. intriguing and i give it “extra credit” for not being too “hot.” 4.5', '\nt: wow. so much going on here. early taste is a lot of dark fruits, heat of alcohol bourbon notes dancing on my tongue and then dissipating into a long, slow, alcohol slide out to an amazing finish of smooth dark roast malt but that process takes about 2 minutes. 4.5', '\nm: mouthfeel is surprisingly thin for the style and the beer’s reputation. mind you, this is not a thin beer, just that i had expected one of the fullest, thickest beers but it is not. 3.5', '\nd: drinkability/overall: overall a fantastic beer, one that everyone reading this should seek out. drinkability is limited by your budget and your sobriety but this is a “night capper” kind of beer. only a fool would drink several of these in one evening. intention, in my opinion, is to enjoy one of these in an evening, and frankly share it with someone else. 4.0",0.0
13,Bourbon County Brand Stout ,"the grandaddy. i\'ve had the 2012 variant most recently on a trip to chicago. held up surprisingly well. still have a 2013 bottle hanging on in the cellar that i can\'t wait to open. even ""bad"" variants of the original are so solid, reliable and respectable. excellent experience every time. very much looking forward to the 2022 lineup and the 2019 > 2022 vertical i plan on doing at new year\'s.",0.0
